Partida,Simulacao,Set,Game,Vencedor,Pontos
2,9,1,11,B,0-0 Love-15 Love-30 15-30 Deuce Adv. A Deuce Adv. B Deuce Adv. A Deuce Adv. B B Wins
2,9,1,12,A,0-0 15-Love 30-Love 30-15 40-15 Adv. A A Wins
2,9,1,13,A,0-0 Love-15 Love-30 15-30 Deuce Adv. A A Wins
2,9,2,1,B,0-0 Love-15 Love-30 Love-40 15-40 B Wins
2,9,2,2,A,0-0 15-Love 15-15 30-15 40-15 Adv. A A Wins
2,9,2,3,B,0-0 Love-15 Love-30 Love-40 15-40 B Wins
2,9,2,4,A,0-0 Love-15 15-15 15-30 Deuce Adv. B Deuce Adv. A Deuce Adv. A A Wins
2,9,2,5,A,0-0 15-Love 30-Love 30-15 Deuce Adv. A Deuce Adv. A A Wins
2,9,2,6,A,0-0 Love-15 15-15 15-30 Deuce Adv. A A Wins
2,9,2,7,B,0-0 Love-15 Love-30 Love-40 B Wins
2,9,2,8,B,0-0 15-Love 30-Love 30-15 Deuce Adv. A Deuce Adv. B B Wins
2,9,2,9,A,0-0 Love-15 15-15 15-30 Deuce Adv. A A Wins
2,9,2,10,B,0-0 Love-15 Love-30 Love-40 15-40 Adv. B B Wins
2,9,2,11,B,0-0 15-Love 30-Love 40-Love 40-15 Adv. A Deuce Adv. B B Wins
2,9,2,12,A,0-0 15-Love 30-Love 40-Love A Wins
2,9,2,13,A,0-0 15-Love 30-Love 40-Love 40-15 Adv. A A Wins
2,10,1,1,A,0-0 15-Love 15-15 15-30 Deuce Adv. A A Wins
2,10,1,2,B,0-0 Love-15 Love-30 Love-40 B Wins
2,10,1,3,B,0-0 Love-15 Love-30 Love-40 B Wins
2,10,1,4,A,0-0 Love-15 15-15 15-30 Deuce Adv. A A Wins
2,10,1,5,A,0-0 Love-15 15-15 15-30 15-40 Adv. B Deuce Adv. A Deuce Adv. A A Wins
2,10,1,6,A,0-0 15-Love 30-Love 40-Love A Wins
2,10,1,7,B,0-0 15-Love 15-15 15-30 15-40 Adv. B B Wins
2,10,1,8,A,0-0 Love-15 15-15 30-15 40-15 Adv. A A Wins
2,10,1,9,A,0-0 Love-15 15-15 30-15 40-15 A Wins
2,10,2,1,B,0-0 Love-15 15-15 15-30 Deuce Adv. A Deuce Adv. B B Wins
2,10,2,2,A,0-0 15-Love 30-Love 30-15 Deuce Adv. B Deuce Adv. B Deuce Adv. A A Wins
2,10,2,3,B,0-0 15-Love 15-15 15-30 15-40 Adv. B Deuce Adv. B B Wins
2,10,2,4,A,0-0 Love-15 15-15 15-30 Deuce Adv. A Deuce Adv. A Deuce Adv. B Deuce Adv. A Deuce Adv. A A Wins
2,10,2,5,B,0-0 15-Love 15-15 15-30 Deuce Adv. B B Wins
2,10,2,6,B,0-0 Love-15 15-15 15-30 15-40 Adv. B Deuce Adv. B B Wins
2,10,2,7,A,0-0 15-Love 30-Love 30-15 Deuce Adv. A A Wins
2,10,2,8,B,0-0 15-Love 30-Love 30-15 Deuce Adv. B B Wins
2,10,2,9,B,0-0 Love-15 Love-30 15-30 Deuce Adv. B B Wins
2,10,3,1,B,0-0 Love-15 Love-30 Love-40 B Wins
2,10,3,2,B,0-0 15-Love 15-15 15-30 Deuce Adv. B Deuce Adv. A Deuce Adv. B Deuce Adv. A Deuce Adv. B B Wins
2,10,3,3,B,0-0 Love-15 Love-30 Love-40 15-40 B Wins
2,10,3,4,A,0-0 15-Love 30-Love 40-Love 40-15 Adv. A Deuce Adv. B Deuce Adv. A A Wins
2,10,3,5,B,0-0 15-Love 15-15 30-15 Deuce Adv. B B Wins
2,10,3,6,A,0-0 Love-15 Love-30 15-30 Deuce Adv. A A Wins
2,10,3,7,A,0-0 Love-15 15-15 15-30 15-40 Adv. B Deuce Adv. A A Wins
2,10,3,8,A,0-0 Love-15 15-15 30-15 Deuce Adv. A A Wins
2,10,3,9,A,0-0 Love-15 15-15 30-15 40-15 Adv. A Deuce Adv. A A Wins
2,10,3,10,B,0-0 Love-15 Love-30 Love-40 15-40 B Wins
2,10,3,11,B,0-0 Love-15 Love-30 Love-40 B Wins
2,10,3,12,B,0-0 Love-15 Love-30 15-30 Deuce Adv. A Deuce Adv. A Deuce Adv. A Deuce Adv. B B Wins
